sample_id,image_path,image_filename,image_type_raw,image_type,nregistro,nombre,nombre_normalizado,principio_activo_texto,principio_activo_normalizado,num_principios_activos,codigo_atc_original,nombre_atc_original,nivel_atc_original,atc1_codigo,atc2_codigo,atc3_codigo,atc3_nombre,atc4_codigo,atc4_nombre,atc5_codigo,atc5_nombre,macroclase_15_codigo,macroclase_15_nombre,dosis,forma_farmaceutica,forma_farmaceutica_simplificada,via_administracion,labtitular,labcomercializador,cpresc,receta,generico,comerc,clase,split
86190_caja_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/abiraterona_glenmark_500_mg_comprimidos_recubiertos_con_peli__86190__materialas__0011.jpg,abiraterona_glenmark_500_mg_comprimidos_recubiertos_con_peli__86190__materialas__0011.jpg,materialas,caja,86190,ABIRATERONA GLENMARK 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,abiraterona glenmark 500 mg comprimidos recubiertos con pelicula efg,ABIRATERONA ACETATO,abiraterona acetato,1,L02BX03,Abiraterona,5,L,L02,L02B,ANTAGONISTAS DE HORMONAS Y AGENTES RELACIONADOS,L02BX,Otros antagonistas de hormonas y sustancias relacionadas,L02BX03,Abiraterona,oncologia,Oncología,500 mg,COMPRIMIDO RECUBIERTO CON PELÍCULA,COMPRIMIDO,VÍA ORAL,Glenmark Arzneimittel Gmbh,Glenmark Farmaceutica S.L.U,Diagnóstico Hospitalario,True,True,True,otros,val
86190_pastilla_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/abiraterona_glenmark_500_mg_comprimidos_recubiertos_con_peli__86190__formafarmac__0012.jpg,abiraterona_glenmark_500_mg_comprimidos_recubiertos_con_peli__86190__formafarmac__0012.jpg,formafarmac,pastilla,86190,ABIRATERONA GLENMARK 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,abiraterona glenmark 500 mg comprimidos recubiertos con pelicula efg,ABIRATERONA ACETATO,abiraterona acetato,1,L02BX03,Abiraterona,5,L,L02,L02B,ANTAGONISTAS DE HORMONAS Y AGENTES RELACIONADOS,L02BX,Otros antagonistas de hormonas y sustancias relacionadas,L02BX03,Abiraterona,oncologia,Oncología,500 mg,COMPRIMIDO RECUBIERTO CON PELÍCULA,COMPRIMIDO,VÍA ORAL,Glenmark Arzneimittel Gmbh,Glenmark Farmaceutica S.L.U,Diagnóstico Hospitalario,True,True,True,otros,val
87969_caja_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/abiraterona_normon_500_mg_comprimidos_recubiertos_con_pelicu__87969__materialas__0013.jpg,abiraterona_normon_500_mg_comprimidos_recubiertos_con_pelicu__87969__materialas__0013.jpg,materialas,caja,87969,ABIRATERONA NORMON 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,abiraterona normon 500 mg comprimidos recubiertos con pelicula efg,ABIRATERONA ACETATO,abiraterona acetato,1,L02BX03,Abiraterona,5,L,L02,L02B,ANTAGONISTAS DE HORMONAS Y AGENTES RELACIONADOS,L02BX,Otros antagonistas de hormonas y sustancias relacionadas,L02BX03,Abiraterona,oncologia,Oncología,500 mg,COMPRIMIDO RECUBIERTO CON PELÍCULA,COMPRIMIDO,VÍA ORAL,Laboratorios Normon S.A.,Laboratorios Normon S.A.,Diagnóstico Hospitalario,True,True,True,otros,train
87969_pastilla_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/abiraterona_normon_500_mg_comprimidos_recubiertos_con_pelicu__87969__formafarmac__0014.jpg,abiraterona_normon_500_mg_comprimidos_recubiertos_con_pelicu__87969__formafarmac__0014.jpg,formafarmac,pastilla,87969,ABIRATERONA NORMON 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,abiraterona normon 500 mg comprimidos recubiertos con pelicula efg,ABIRATERONA ACETATO,abiraterona acetato,1,L02BX03,Abiraterona,5,L,L02,L02B,ANTAGONISTAS DE HORMONAS Y AGENTES RELACIONADOS,L02BX,Otros antagonistas de hormonas y sustancias relacionadas,L02BX03,Abiraterona,oncologia,Oncología,500 mg,COMPRIMIDO RECUBIERTO CON PELÍCULA,COMPRIMIDO,VÍA ORAL,Laboratorios Normon S.A.,Laboratorios Normon S.A.,Diagnóstico Hospitalario,True,True,True,otros,train
86024_caja_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/abiraterona_sandoz_500_mg_comprimdos_recubiertos_con_pelicul__86024__materialas__0015.jpg,abiraterona_sandoz_500_mg_comprimdos_recubiertos_con_pelicul__86024__materialas__0015.jpg,materialas,caja,86024,ABIRATERONA SANDOZ 500 MG COMPRIMDOS RECUBIERTOS CON PELICULA EFG,abiraterona sandoz 500 mg comprimdos recubiertos con pelicula efg,ABIRATERONA ACETATO,abiraterona acetato,1,L02BX03,Abiraterona,5,L,L02,L02B,ANTAGONISTAS DE HORMONAS Y AGENTES RELACIONADOS,L02BX,Otros antagonistas de hormonas y sustancias relacionadas,L02BX03,Abiraterona,oncologia,Oncología,500 mg,COMPRIMIDO RECUBIERTO CON PELÍCULA,COMPRIMIDO,VÍA ORAL,Sandoz Farmaceutica S.A.,Sandoz Farmaceutica S.A.,Diagnóstico Hospitalario,True,True,True,otros,train
86024_pastilla_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/abiraterona_sandoz_500_mg_comprimdos_recubiertos_con_pelicul__86024__formafarmac__0016.jpg,abiraterona_sandoz_500_mg_comprimdos_recubiertos_con_pelicul__86024__formafarmac__0016.jpg,formafarmac,pastilla,86024,ABIRATERONA SANDOZ 500 MG COMPRIMDOS RECUBIERTOS CON PELICULA EFG,abiraterona sandoz 500 mg comprimdos recubiertos con pelicula efg,ABIRATERONA ACETATO,abiraterona acetato,1,L02BX03,Abiraterona,5,L,L02,L02B,ANTAGONISTAS DE HORMONAS Y AGENTES RELACIONADOS,L02BX,Otros antagonistas de hormonas y sustancias relacionadas,L02BX03,Abiraterona,oncologia,Oncología,500 mg,COMPRIMIDO RECUBIERTO CON PELÍCULA,COMPRIMIDO,VÍA ORAL,Sandoz Farmaceutica S.A.,Sandoz Farmaceutica S.A.,Diagnóstico Hospitalario,True,True,True,otros,train
86037_caja_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/abiraterona_stada_500_mg_comprimidos_recubiertos_con_pelicul__86037__materialas__0017.jpg,abiraterona_stada_500_mg_comprimidos_recubiertos_con_pelicul__86037__materialas__0017.jpg,materialas,caja,86037,ABIRATERONA STADA 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,abiraterona stada 500 mg comprimidos recubiertos con pelicula efg,ABIRATERONA ACETATO,abiraterona acetato,1,L02BX03,Abiraterona,5,L,L02,L02B,ANTAGONISTAS DE HORMONAS Y AGENTES RELACIONADOS,L02BX,Otros antagonistas de hormonas y sustancias relacionadas,L02BX03,Abiraterona,oncologia,Oncología,500 mg,COMPRIMIDO RECUBIERTO CON PELÍCULA,COMPRIMIDO,VÍA ORAL,Laboratorio Stada S.L.,Laboratorio Stada S.L.,Diagnóstico Hospitalario,True,True,True,otros,test
86037_pastilla_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/abiraterona_stada_500_mg_comprimidos_recubiertos_con_pelicul__86037__formafarmac__0018.jpg,abiraterona_stada_500_mg_comprimidos_recubiertos_con_pelicul__86037__formafarmac__0018.jpg,formafarmac,pastilla,86037,ABIRATERONA STADA 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,abiraterona stada 500 mg comprimidos recubiertos con pelicula efg,ABIRATERONA ACETATO,abiraterona acetato,1,L02BX03,Abiraterona,5,L,L02,L02B,ANTAGONISTAS DE HORMONAS Y AGENTES RELACIONADOS,L02BX,Otros antagonistas de hormonas y sustancias relacionadas,L02BX03,Abiraterona,oncologia,Oncología,500 mg,COMPRIMIDO RECUBIERTO CON PELÍCULA,COMPRIMIDO,VÍA ORAL,Laboratorio Stada S.L.,Laboratorio Stada S.L.,Diagnóstico Hospitalario,True,True,True,otros,test
07428001_caja_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/abraxane_5_mg_ml_polvo_para_dispersion_para_perfusion__07428001__materialas__0019.jpg,abraxane_5_mg_ml_polvo_para_dispersion_para_perfusion__07428001__materialas__0019.jpg,materialas,caja,07428001,ABRAXANE 5 MG/ML POLVO PARA DISPERSION PARA PERFUSION,abraxane 5 mg ml polvo para dispersion para perfusion,PACLITAXEL,paclitaxel,1,L01CD01,Paclitaxel,5,L,L01,L01C,ALCALOIDES DE PLANTAS Y OTROS PRODUCTOS NATURALES,L01CD,Taxanos,L01CD01,Paclitaxel,oncologia,Oncología,100 mg,POLVO PARA DISPERSIÓN PARA PERFUSIÓN,INYECTABLE PERFUSION,VÍA INTRAVENOSA,Bristol-Myers Squibb Pharma Eeig,Bristol Myers Squibb S.A.,Uso Hospitalario,True,False,True,otros,train
07428001_pastilla_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/abraxane_5_mg_ml_polvo_para_dispersion_para_perfusion__07428001__formafarmac__0020.jpg,abraxane_5_mg_ml_polvo_para_dispersion_para_perfusion__07428001__formafarmac__0020.jpg,formafarmac,pastilla,07428001,ABRAXANE 5 MG/ML POLVO PARA DISPERSION PARA PERFUSION,abraxane 5 mg ml polvo para dispersion para perfusion,PACLITAXEL,paclitaxel,1,L01CD01,Paclitaxel,5,L,L01,L01C,ALCALOIDES DE PLANTAS Y OTROS PRODUCTOS NATURALES,L01CD,Taxanos,L01CD01,Paclitaxel,oncologia,Oncología,100 mg,POLVO PARA DISPERSIÓN PARA PERFUSIÓN,INYECTABLE PERFUSION,VÍA INTRAVENOSA,Bristol-Myers Squibb Pharma Eeig,Bristol Myers Squibb S.A.,Uso Hospitalario,True,False,True,otros,train
85180_caja_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/abrilia_20_mg_comprimidos_efg__85180__materialas__0021.jpg,abrilia_20_mg_comprimidos_efg__85180__materialas__0021.jpg,materialas,caja,85180,ABRILIA 20 MG COMPRIMIDOS EFG,abrilia 20 mg comprimidos efg,BILASTINA,bilastina,1,R06AX29,Bilastina,5,R,R06,R06A,ANTIHISTAMINICOS PARA USO SISTEMICO,R06AX,Otros antihistaminicos para uso sistemico,R06AX29,Bilastina,respiratorio,Respiratorio,20 mg,COMPRIMIDO,COMPRIMIDO,VÍA ORAL,Laboratorios Normon S.A.,Laboratorios Normon S.A.,Sin Receta,False,True,True,Respiratorio,train
85180_pastilla_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/abrilia_20_mg_comprimidos_efg__85180__formafarmac__0022.jpg,abrilia_20_mg_comprimidos_efg__85180__formafarmac__0022.jpg,formafarmac,pastilla,85180,ABRILIA 20 MG COMPRIMIDOS EFG,abrilia 20 mg comprimidos efg,BILASTINA,bilastina,1,R06AX29,Bilastina,5,R,R06,R06A,ANTIHISTAMINICOS PARA USO SISTEMICO,R06AX,Otros antihistaminicos para uso sistemico,R06AX29,Bilastina,respiratorio,Respiratorio,20 mg,COMPRIMIDO,COMPRIMIDO,VÍA ORAL,Laboratorios Normon S.A.,Laboratorios Normon S.A.,Sin Receta,False,True,True,Respiratorio,train
1231752001_caja_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/abrysvo_polvo_y_disolvente_para_solucion_inyectable__1231752001__materialas__0023.jpg,abrysvo_polvo_y_disolvente_para_solucion_inyectable__1231752001__materialas__0023.jpg,materialas,caja,1231752001,ABRYSVO POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,abrysvo polvo y disolvente para solucion inyectable,"VIRUS SINCITIAL RESPIRATORIO, SUBGROUPO A, SUBUNIDAD F PROTEINA 847A ESTABILIZADA EN PREFUSION + VIRUS SINCITIAL RESPIRATORIO, SUBGROUPO B, SUBUNIDAD F PROTEINA 847B ESTABILIZADA EN PREFUSION",virus sincitial respiratorio subgroupo a subunidad f proteina 847a estabilizada en prefusion + virus sincitial respiratorio subgroupo b subunidad f proteina 847b estabilizada en prefusion,2,J07BX05,Vacunas frente al virus respiratorio sincitial,5,J,J07,J07B,VACUNAS ANTIVIRALES,J07BX,Otras vacunas antivirales,J07BX05,Vacunas frente al virus respiratorio sincitial,antiinfecciosos_sistemicos,Antiinfecciosos sistémicos,60 microgramos/dosis + 60 microgramos/dosis,POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE,INYECTABLE,VÍA INTRAMUSCULAR,Pfizer Europe Ma Eeig,Pfizer S.L.,Medicamento Sujeto A Prescripción Médica,True,False,True,Antiinfecciosos sistémicos,train
1231752001_pastilla_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/abrysvo_polvo_y_disolvente_para_solucion_inyectable__1231752001__formafarmac__0024.jpg,abrysvo_polvo_y_disolvente_para_solucion_inyectable__1231752001__formafarmac__0024.jpg,formafarmac,pastilla,1231752001,ABRYSVO POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,abrysvo polvo y disolvente para solucion inyectable,"VIRUS SINCITIAL RESPIRATORIO, SUBGROUPO A, SUBUNIDAD F PROTEINA 847A ESTABILIZADA EN PREFUSION + VIRUS SINCITIAL RESPIRATORIO, SUBGROUPO B, SUBUNIDAD F PROTEINA 847B ESTABILIZADA EN PREFUSION",virus sincitial respiratorio subgroupo a subunidad f proteina 847a estabilizada en prefusion + virus sincitial respiratorio subgroupo b subunidad f proteina 847b estabilizada en prefusion,2,J07BX05,Vacunas frente al virus respiratorio sincitial,5,J,J07,J07B,VACUNAS ANTIVIRALES,J07BX,Otras vacunas antivirales,J07BX05,Vacunas frente al virus respiratorio sincitial,antiinfecciosos_sistemicos,Antiinfecciosos sistémicos,60 microgramos/dosis + 60 microgramos/dosis,POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE,INYECTABLE,VÍA INTRAMUSCULAR,Pfizer Europe Ma Eeig,Pfizer S.L.,Medicamento Sujeto A Prescripción Médica,True,False,True,Antiinfecciosos sistémicos,train
65382_caja_1,/Users/merybri/Library/CloudStorage/OneDrive-UPNA/master_clases/segundo semestre/analisis de datos no estructurados/proyecto_imagen/MedAssist-AI-IMAGE/imagenes/absorcol_10_mg_comprimidos__65382__materialas__0025.jpg,absorcol_10_mg_comprimidos__65382__materialas__0025.jpg,materialas,caja,65382,ABSORCOL 10 mg COMPRIMIDOS,absorcol 10 mg comprimidos,EZETIMIBA,ezetimiba,1,C10AX09,Ezetimiba,5,C,C10,C10A,"AGENTES MODIFICADORES DE LOS LIPIDOS, MONOFARMACOS",C10AX,Otros agentes modificadores de los lipidos,C10AX09,Ezetimiba,cardiovascular,Cardiovascular,10 mg ezetimiba,COMPRIMIDO,COMPRIMIDO,VÍA ORAL,Organon Salud S.L.,Organon Salud S.L.,Medicamento Sujeto A Prescripción Médica,True,False,True,Cardiovascular,train
